original_filename	new_filename	item_id	canonical_name	status	kind
001.png	0001_Master_Ball.png	1	Master Ball	canonical	Pokemon item
002.png	0002_Ultra_Ball.png	2	Ultra Ball	canonical	Pokemon item
003.png	0003_Great_Ball.png	3	Great Ball	canonical	Pokemon item
004.png	0004_Poke_Ball.png	4	Poké Ball	canonical	Pokemon item
005.png	0005_Safari_Ball.png	5	Safari Ball	canonical	Pokemon item
006.png	0006_Net_Ball.png	6	Net Ball	canonical	Pokemon item
007.png	0007_Dive_Ball.png	7	Dive Ball	canonical	Pokemon item
008.png	0008_Nest_Ball.png	8	Nest Ball	canonical	Pokemon item
009.png	0009_Repeat_Ball.png	9	Repeat Ball	canonical	Pokemon item
010.png	0010_Timer_Ball.png	10	Timer Ball	canonical	Pokemon item
011.png	0011_Luxury_Ball.png	11	Luxury Ball	canonical	Pokemon item
012.png	0012_Premier_Ball.png	12	Premier Ball	canonical	Pokemon item
013.png	0013_Dusk_Ball.png	13	Dusk Ball	canonical	Pokemon item
014.png	0014_Heal_Ball.png	14	Heal Ball	canonical	Pokemon item
015.png	0015_Quick_Ball.png	15	Quick Ball	canonical	Pokemon item
016.png	0016_Cherish_Ball.png	16	Cherish Ball	canonical	Pokemon item
017.png	0017_Potion.png	17	Potion	canonical	Pokemon item
018.png	0018_Antidote.png	18	Antidote	canonical	Pokemon item
019.png	0019_Burn_Heal.png	19	Burn Heal	canonical	Pokemon item
020.png	0020_Ice_Heal.png	20	Ice Heal	canonical	Pokemon item
021.png	0021_Awakening.png	21	Awakening	canonical	Pokemon item
022.png	0022_Paralyze_Heal.png	22	Paralyze Heal	canonical	Pokemon item
023.png	0023_Full_Restore.png	23	Full Restore	canonical	Pokemon item
024.png	0024_Max_Potion.png	24	Max Potion	canonical	Pokemon item
025.png	0025_Hyper_Potion.png	25	Hyper Potion	canonical	Pokemon item
026.png	0026_Super_Potion.png	26	Super Potion	canonical	Pokemon item
027.png	0027_Full_Heal.png	27	Full Heal	canonical	Pokemon item
028.png	0028_Revive.png	28	Revive	canonical	Pokemon item
029.png	0029_Max_Revive.png	29	Max Revive	canonical	Pokemon item
030.png	0030_Fresh_Water.png	30	Fresh Water	canonical	Pokemon item
031.png	0031_Soda_Pop.png	31	Soda Pop	canonical	Pokemon item
032.png	0032_Lemonade.png	32	Lemonade	canonical	Pokemon item
033.png	0033_Moomoo_Milk.png	33	Moomoo Milk	canonical	Pokemon item
034.png	0034_Energy_Powder.png	34	Energy Powder	canonical	Pokemon item
